Vf (m^3),Work (J)
0.1,-0.0
0.10202020202020202,-49.68664470528979
0.10404040404040404,-98.01460728282504
0.10606060606060606,-145.04635998603817
0.10808080808080808,-190.84038215292247
0.1101010101010101,-235.4514843859689
0.11212121212121212,-278.9311010152543
0.11414141414141415,-321.32755445702566
0.11616161616161616,-362.6862946127243
0.1181818181818182,-403.0501160534777
0.1202020202020202,-442.4593553918919
0.12222222222222223,-480.95207094772843
0.12424242424242425,-518.5642065592656
0.12626262626262627,-555.3297411718411
0.12828282828282828,-591.2808256439951
0.1303030303030303,-626.4479080456017
0.13232323232323234,-660.8598485777079
0.13434343434343435,-694.5440251175214
0.13636363636363635,-727.5264302814611
0.1383838383838384,-759.831760802299
0.14040404040404042,-791.4834999312883
0.14242424242424243,-822.5039935012301
0.14444444444444446,-852.9145202203242
0.14646464646464646,-882.7353567082394
0.1484848484848485,-911.9858377341402
0.1505050505050505,-940.6844120705398
0.15252525252525254,-968.8486943361345
0.15454545454545454,-996.4955131645168
0.15656565656565657,-1023.6409560033875
0.1585858585858586,-1050.300410820041
0.1606060606060606,-1076.4886049631432
0.16262626262626262,-1102.2196414077425
0.16464646464646465,-1127.5070325897766
0.16666666666666669,-1152.3637320177586
0.1686868686868687,-1176.8021638326475
0.1707070707070707,-1200.834250471864
0.17272727272727273,-1224.4714385798698
0.17474747474747476,-1247.7247232955049
0.17676767676767677,-1270.6046710352277
0.17878787878787877,-1293.1214408814021
0.1808080808080808,-1315.2848046757208
0.18282828282828284,-1337.1041659096486
0.18484848484848487,-1358.5885774963078
0.18686868686868688,-1379.7467585014513
0.18888888888888888,-1400.587109905008
0.19090909090909092,-1421.1177294590655
0.19292929292929295,-1441.346425703037
0.19494949494949496,-1461.280731192085
0.19696969696969696,-1480.9279149906083
0.198989898989899,-1500.2949944786878
0.20101010101010103,-1519.3887465158223
0.20303030303030303,-1538.2157180030058
0.20505050505050504,-1556.782235881199
0.20707070707070707,-1575.094416601484
0.2090909090909091,-1593.1581750996766
0.2111111111111111,-1610.9792333058272
0.21313131313131314,-1628.5631282169115
0.21515151515151515,-1645.9152195590277
0.21717171717171718,-1663.0406970636204
0.21919191919191922,-1679.9445873805503
0.22121212121212122,-1696.6317606493012
0.22323232323232323,-1713.1069367481787
0.22525252525252526,-1729.3746912400284
0.22727272727272727,-1745.4394610317922
0.2292929292929293,-1761.3055497640792
0.23131313131313133,-1776.9771329458767
0.23333333333333334,-1792.4582628485741
0.23535353535353537,-1807.7528731725388
0.23737373737373738,-1822.8647834986814
0.2393939393939394,-1837.7977035366398
0.24141414141414141,-1852.555237180511
0.24343434343434345,-1867.1408863823744
0.24545454545454545,-1881.5580548532243
0.2474747474747475,-1895.8100516003594
0.2494949494949495,-1909.9000943097212
0.2515151515151515,-1923.8313125811671
0.2535353535353535,-1937.6067510242037
0.25555555555555554,-1951.2293722212526
0.25757575757575757,-1964.702059565111
0.2595959595959596,-1978.0276199768996
0.26161616161616164,-1991.208786510398
0.26363636363636367,-2004.248220848377
0.2656565656565657,-2017.1485156961717
0.2676767676767677,-2029.9121970774902
0.2696969696969697,-2042.5417265371457
0.2717171717171717,-2055.039503255147
0.2737373737373737,-2067.4078660763566
0.27575757575757576,-2079.649095459672
0.2777777777777778,-2091.765415350489
0.2797979797979798,-2103.7589949799994
0.28181818181818186,-2115.63195059469
0.28383838383838383,-2127.38634711922
0.28585858585858587,-2139.0241997557123
0.28787878787878785,-2150.5474755223013
0.2898989898989899,-2161.9580947336694
0.2919191919191919,-2173.257932426134
0.29393939393939394,-2184.4488197297396
0.295959595959596,-2195.5325451896665
0.297979797979798,-2206.5108560391636
0.3,-2217.3854594261
