Vf (m^3),Work (J)
0.1,-0.0
0.10202020202020202,-49.885662913133544
0.10404040404040404,-98.79311234044849
0.10606060606060606,-146.7599754975961
0.10808080808080808,-193.82174949379186
0.1101010101010101,-240.01195914127447
0.11212121212121212,-285.3623004159226
0.11414141414141415,-329.9027711067142
0.11616161616161616,-373.6617900028282
0.1181818181818182,-416.6663058043787
0.1202020202020202,-458.94189680201
0.12222222222222223,-500.51286224864293
0.12424242424242425,-541.4023062406594
0.12626262626262627,-581.6322148335494
0.12828282828282828,-621.2235270364479
0.1303030303030303,-660.1962002595108
0.13232323232323234,-698.5692707262435
0.13434343434343435,-736.3609093085876
0.13636363636363635,-773.5884731947174
0.1383838383838384,-810.2685537573018
0.14040404040404042,-846.4170209526648
0.14242424242424243,-882.0490645482398
0.14444444444444446,-917.1792324463788
0.14646464646464646,-951.8214663465112
0.1484848484848485,-985.9891349644554
0.1505050505050505,-1019.6950650069584
0.15252525252525254,-1052.9515700810828
0.15454545454545454,-1085.7704777014767
0.15656565656565657,-1118.1631545437808
0.1585858585858586,-1150.1405300790793
0.1606060606060606,-1181.7131187123764
0.16262626262626262,-1212.8910405373083
0.16464646464646465,-1243.6840408095923
0.16666666666666669,-1274.1015082329814
0.1686868686868687,-1304.1524921435698
0.1707070707070707,-1333.8457186711514
0.17272727272727273,-1363.1896059498358
0.17474747474747476,-1392.1922784442654
0.17676767676767677,-1420.8615804524343
0.17878787878787877,-1449.2050888412423
0.1808080808080808,-1477.230125066529
0.18282828282828284,-1504.9437665252774
0.18484848484848487,-1532.3528572840382
0.18686868686868688,-1559.4640182242463
0.18888888888888888,-1586.28365664206
0.19090909090909092,-1612.8179753375393
0.19292929292929295,-1639.0729812254194
0.19494949494949496,-1665.05449349738
0.19696969696969696,-1690.768151363558
0.198989898989899,-1716.2194213990617
0.20101010101010103,-1741.4136045194282
0.20303030303030303,-1766.3558426072937
0.20505050505050504,-1791.0511248109908
0.20707070707070707,-1815.5042935343768
0.2090909090909091,-1839.7200501358793
0.2111111111111111,-1863.702960353535
0.21313131313131314,-1887.4574594716842
0.21515151515151515,-1910.987857243938
0.21717171717171718,-1934.2983425860937
0.21919191919191922,-1957.3929880517717
0.22121212121212122,-1980.2757541027443
0.22323232323232323,-2002.9504931851452
0.22525252525252526,-2025.4209536220624
0.22727272727272727,-2047.690783332343
0.2292929292929293,-2069.7635333848484
0.23131313131313133,-2091.642661396808
0.23333333333333334,-2113.3315347844177
0.23535353535353537,-2134.8334338733216
0.23737373737373738,-2156.1515548761554
0.2393939393939394,-2177.2890127439277
0.24141414141414141,-2198.2488438975793
0.24343434343434345,-2219.034008845737
0.24545454545454545,-2239.647394694281
0.2474747474747475,-2260.0918175530624
0.2494949494949495,-2280.3700248447803
0.2515151515151515,-2300.484697520764
0.2535353535353535,-2320.4384521881066
0.25555555555555554,-2340.2338431524026
0.25757575757575757,-2359.873364380046
0.2595959595959596,-2379.3594513838816
0.26161616161616164,-2398.694483035765
0.26363636363636367,-2417.8807833094056
0.2656565656565657,-2436.920622956688
0.2676767676767677,-2455.8162211204926
0.2696969696969697,-2474.5697468868884
0.2717171717171717,-2493.1833207793943
0.2737373737373737,-2511.6590161979107
0.27575757575757576,-2529.9988608047333
0.2777777777777778,-2548.2048378599943
0.2797979797979798,-2566.2788875087053
0.28181818181818186,-2584.222908021511
0.28383838383838383,-2602.0387569911236
0.28585858585858587,-2619.7282524863344
0.28787878787878785,-2637.293174165382
0.2898989898989899,-2654.7352643504028
0.2919191919191919,-2672.056229064559
0.29393939393939394,-2689.257739033415
0.295959595959596,-2706.341430652012
0.297979797979798,-2723.308906919051
0.3,-2740.161738339514
