T (K),U1,U2,U3,F1,F2,F3,S1,S2,S3
643.4343434343434,0.0,3.801691349265407e-22,4.184649681533277e-21,-2.344425006847876e-20,-1.599282399440533e-20,-1.4880750340045953e-20,3.643611863075977e-23,2.5446253058145293e-23,2.9630684491936326e-23
660.6060606060606,0.0,4.329811475935367e-22,4.3570361348867876e-21,-2.4069920792441304e-20,-1.6430469433752433e-20,-1.5391848109827472e-20,3.643611863075977e-23,2.55272417057072e-23,2.989510000346654e-23
677.7777777777778,0.0,4.898154757945675e-22,4.525796731420472e-21,-2.4695591516403846e-20,-1.6869539658385476e-20,-1.5907380884731917e-20,3.643611863075977e-23,2.5612163312724653e-23,3.0147311236946147e-23
694.9494949494949,0.0,5.506574511910117e-22,4.690842925508666e-21,-2.5321262240366386e-20,-1.731010034811046e-20,-1.642714321290636e-20,3.643611863075977e-23,2.570079974027392e-23,3.038779982126581e-23
712.1212121212121,0.0,6.15473950328865e-22,4.852117308552191e-21,-2.594693296432893e-20,-1.7752213344115225e-20,-1.6950938001401982e-20,3.643611863075977e-23,2.5792922583687447e-23,3.0617056392701605e-23
729.2929292929293,0.0,6.842149228080676e-22,5.00958918529251e-21,-2.657260368829147e-20,-1.8195936499746565e-20,-1.747857660848642e-20,3.643611863075977e-23,2.5888296271923942e-23,3.0835573595347836e-23
746.4646464646464,0.0,7.568149544744426e-22,5.163250621762897e-21,-2.719827441225401e-20,-1.8641323581820996e-20,-1.8009878828604043e-20,3.6436118630759776e-23,2.5986680853765205e-23,3.104384053567425e-23
763.6363636363637,0.0,8.331948357559623e-22,5.313112937790243e-21,-2.7823945136216557e-20,-1.9088424217107926e-20,-1.8544672792897607e-20,3.643611863075977e-23,2.6087834473988422e-23,3.124233845685313e-23
780.8080808080808,0.0,9.132631105876205e-22,5.45920361206839e-21,-2.8449615860179097e-20,-1.953728387873568e-20,-1.9082794804441542e-20,3.6436118630759776e-23,2.6191515549068652e-23,3.143153742864791e-23
797.979797979798,0.0,9.96917586139724e-22,5.601563565446494e-21,-2.9075286584141636e-20,-1.9987943907477045e-20,-1.962408912407544e-20,3.643611863075977e-23,2.629748465655772e-23,3.161189387674268e-23
815.1515151515152,0.0,1.0840467877825047e-21,5.7402447875018896e-21,-2.970095730810418e-20,-2.044044156314213e-20,-2.0168407719924662e-20,3.6436118630759776e-23,2.6405506155409404e-23,3.17838488009322e-23
832.3232323232323,0.0,1.1745313474043042e-21,5.875308272145837e-21,-3.032662803206672e-20,-2.0894810101621614e-20,-2.0715609991309436e-20,3.6436118630759776e-23,2.6515349556475315e-23,3.1947826554394075e-23
